Mã TP,Mã QH,Mã PX,Tỉnh Thành Phố,Quận Huyện,Phường Xã,Cấp
01,001,00001,Thành phố Hà Nội,Quận Ba Đình,Phường Phúc Xá,Phường
01,001,00004,Thành phố Hà Nội,Quận Ba Đình,Phường Trúc Bạch,Phường
01,001,00006,Thành phố Hà Nội,Quận Ba Đình,Phường Vĩnh Phúc,Phường
01,001,00007,Thành phố Hà Nội,Quận Ba Đình,Phường Cống Vị,Phường
01,001,00008,Thành phố Hà Nội,Quận Ba Đình,Phường Liễu Giai,Phường
01,001,00010,Thành phố Hà Nội,Quận Ba Đình,Phường Nguyễn Trung Trực,Phường
01,001,00013,Thành phố Hà Nội,Quận Ba Đình,Phường Quán Thánh,Phường
01,001,00016,Thành phố Hà Nội,Quận Ba Đình,Phường Ngọc Hà,Phường
01,001,00019,Thành phố Hà Nội,Quận Ba Đình,Phường Điện Biên,Phường
01,001,00022,Thành phố Hà Nội,Quận Ba Đình,Phường Đội Cấn,Phường
01,001,00025,Thành phố Hà Nội,Quận Ba Đình,Phường Ngọc Khánh,Phường
01,001,00028,Thành phố Hà Nội,Quận Ba Đình,Phường Kim Mã,Phường
01,001,00031,Thành phố Hà Nội,Quận Ba Đình,Phường Giảng Võ,Phường
01,001,00034,Thành phố Hà Nội,Quận Ba Đình,Phường Thành Công,Phường
01,002,00037,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Phúc Tân,Phường
01,002,00040,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Đồng Xuân,Phường
01,002,00043,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Mã,Phường
01,002,00046,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Buồm,Phường
01,002,00049,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Đào,Phường
01,002,00052,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bồ,Phường
01,002,00055,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Cửa Đông,Phường
01,002,00058,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Lý Thái Tổ,Phường
01,002,00061,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bạc,Phường
01,002,00064,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Hàng Gai,Phường
01,002,00067,Thành phố Hà Nội,Quận Hoàn Kiếm,Phường Chương Dương,Phường
